grouping,group,year,model,n,councils,financial_years,MAE,median_AE,q25_AE,q75_AE,p90_AE,RMSE,bias,mean_AE_difference_vs_persistence,median_AE_difference_vs_persistence
flood_group,flood declaration,2021,tree_change,82,82,1,6.023675346903845,4.6681100478468895,2.4379999999999993,7.473970238095238,13.78872272727274,8.013264881820406,-2.7547621770612785,-0.13803197016932553,0.21772727272727188
flood_group,flood declaration,2021,ridge_change,82,82,1,6.560812672195145,5.30540022051974,2.657906583232233,9.046120848318898,13.069362855069194,8.425866782588573,-4.384660164304811,0.39910535512197437,1.081027572304179
flood_group,flood declaration,2022,persistence,108,108,1,7.546203703703703,6.295,2.895,11.3925,14.666999999999996,9.592411979924162,-5.128611111111112,0.0,0.0
flood_group,flood declaration,2022,tree_level,108,108,1,8.261975717626477,7.163233571893298,3.6395047169811328,12.045518867924528,15.131153846153847,9.968030957267196,-6.82994263042529,0.7157720139227736,0.9619230769230773
flood_group,flood declaration,2022,ridge_level,108,108,1,8.176812830627695,7.6877967919685215,3.692879703719532,11.977525024133506,15.342523652537151,9.961716584609484,-5.9272475363535255,0.630609126923991,0.056643942396714
flood_group,flood declaration,2022,tree_change,108,108,1,8.515799833356184,7.796821505376343,4.361526229508195,12.051635752688174,15.196929999999996,10.327799198362463,-6.719522714645722,0.9695961296524798,2.065901639344261
flood_group,flood declaration,2022,ridge_change,108,108,1,8.1315527957086,7.67847645253414,4.166810939067139,11.937891806547267,15.389496713414788,9.839702249448207,-5.98960052601324,0.5853490920048982,0.2516927096699444
flood_group,flood declaration,2023,persistence,74,74,1,7.711756756756756,5.8149999999999995,2.665000000000001,12.215,15.916,9.678878299427838,1.0260810810810808,0.0,0.0
flood_group,flood declaration,2023,tree_level,74,74,1,7.469638324022227,6.298728036669214,2.806541666666666,11.554319327731093,16.163116666666667,9.384409843598768,-0.33328397848212227,-0.24211843273453193,-0.20737044817927064
flood_group,flood declaration,2023,ridge_level,74,74,1,7.062555804140823,5.395279221551464,2.204390400083751,9.521880519977387,16.704241841007256,9.258663154529348,0.02134622801161432,-0.6492009526159344,-0.49865604300584665
flood_group,flood declaration,2023,tree_change,74,74,1,7.345349166173283,5.389316801619434,2.5630323918873597,10.121215090641842,17.36756964465303,9.52114924955879,-1.1984631101057408,-0.3664075905834731,-0.5470921117099464
flood_group,flood declaration,2023,ridge_change,74,74,1,7.088564793506152,5.368990874212352,2.7377386298118527,9.53295743900551,16.408917393533244,9.121494264822877,0.288874583042765,-0.6231919632506031,-0.43851336143625763
flood_group,no listed flood onset,pooled,persistence,106,79,3,6.380283018867924,4.715,2.9000000000000004,9.1725,13.364999999999998,8.407806289619998,-2.131037735849057,0.0,0.0
flood_group,no listed flood onset,pooled,tree_level,106,79,3,6.817371922920089,5.9509165888577655,2.5959583333333334,9.468939393939394,14.77,8.848828848166745,-3.608919316197847,0.4370889040521643,0.25882208055636235
flood_group,no listed flood onset,pooled,ridge_level,106,79,3,6.566638714130816,5.40816847021866,2.459256784759932,9.273922933463382,13.697500180339837,8.744452100519322,-3.0027000407751654,0.18635569526289095,0.260041796719906
flood_group,no listed flood onset,pooled,tree_change,106,79,3,6.719151601901515,6.125783208020049,2.1662150906418427,9.37940769230769,14.80375,8.801967341187387,-2.6732687565457374,0.3388685830335906,-3.3306690738754696e-16
flood_group,no listed flood onset,pooled,ridge_change,106,79,3,7.271593497906958,5.605845295436982,2.9180968532185316,10.16874038146482,14.17027603466153,9.880252847840097,-4.155692376424042,0.8913104790390325,1.1246230882128267
flood_group,no listed flood onset,2021,persistence,42,42,1,6.847380952380955,5.34,3.2074999999999996,10.425,14.237999999999996,8.606677501745237,-2.286904761904762,0.0,0.0
flood_group,no listed flood onset,2021,tree_level,42,42,1,7.0560211264963035,6.163987391646964,2.914,9.424,16.221666666666664,9.1089583315751,-4.265803482307028,0.20864017411535163,0.04633333333333223
flood_group,no listed flood onset,2021,ridge_level,42,42,1,6.045551485390041,5.372978092567777,2.056494844577765,8.08262185483327,12.339638396487425,8.197955261869446,-2.451984455391223,-0.8018294669909118,-1.473352457310317
flood_group,no listed flood onset,2021,tree_change,42,42,1,7.469765037593985,6.719500000000002,3.9963906926406922,9.143947368421053,14.854504545454546,9.243770999859278,-3.1695739104254144,0.6223840852130326,-3.3306690738754696e-16
flood_group,no listed flood onset,2021,ridge_change,42,42,1,7.927047882946051,6.158398872755717,2.9721430593953224,10.735603603780595,16.286010527751383,11.197342004826208,-4.793665608425425,1.0796669305650999,0.27494509330508676
flood_group,no listed flood onset,2022,persistence,14,14,1,9.936428571428573,7.75,5.955,12.944999999999999,17.785000000000004,12.668129019596492,-7.517857142857143,0.0,0.0
flood_group,no listed flood onset,2022,tree_level,14,14,1,11.060540344960364,10.693233571893298,7.273657635467979,14.160775862068965,15.59044827586207,13.044860339157589,-8.894321365501307,1.1241117735317945,1.3382335718932985
flood_group,no listed flood onset,2022,ridge_level,14,14,1,10.145522919727537,10.404985191166395,3.8997491121319783,13.322272443428677,16.087863630371587,12.700096913590462,-7.70711289201644,0.20909434829896487,0.09398469615490868
flood_group,no listed flood onset,2022,tree_change,14,14,1,9.552484950013849,9.77715081967213,2.4234999999999993,12.859543010752688,17.805600000000005,12.26100418269005,-6.49861375563446,-0.38394362141472155,-0.6687508196721317
flood_group,no listed flood onset,2022,ridge_change,14,14,1,10.428437581019693,10.57193895426088,4.162320001353105,13.591119550903471,15.835528863075258,12.905672949006828,-8.079480792215108,0.49200900959112115,0.4953407994774901
flood_group,no listed flood onset,2023,persistence,50,50,1,4.9922,3.8450000000000006,2.0749999999999997,7.1825,10.174999999999999,6.535107191163737,-0.49179999999999985,0.0,0.0
flood_group,no listed flood onset,2023,tree_level,50,50,1,5.428819433744789,3.2958333333333334,2.1447776610644285,8.105546218487397,11.059856060606064,6.975327050882008,-1.5772240428611644,0.43661943374479045,0.19500000000000028
flood_group,no listed flood onset,2023,ridge_level,50,50,1,6.002264408705985,4.576138134672543,2.5328252977049486,8.251023279565679,10.823381622246675,7.777622627097991,-2.148065534150121,1.0100644087059845,0.7339793036539836
flood_group,no listed flood onset,2023,tree_change,50,50,1,5.295302978448387,3.672738853503184,1.9937150906418428,7.913869426751592,10.263253781847137,7.097707877229743,-1.1852758275419686,0.30310297844838674,-0.0472611464968154
flood_group,no listed flood onset,2023,ridge_change,50,50,1,5.8370954712025505,4.735344274386886,2.3929423415945488,8.200031910948807,10.66884500260976,7.41604589676557,-2.521134105121383,0.8448954712025509,1.400952553189137
any_declaration_group,any new declaration,pooled,persistence,265,117,3,7.1466415094339615,5.5,2.53,10.82,15.265999999999998,9.249094274882292,-2.3480000000000003,0.0,0.0
any_declaration_group,any new declaration,pooled,tree_level,265,117,3,7.607369351912143,6.693018867924527,2.769259259259261,11.715,15.31670754716981,9.444542001113739,-4.183149925415611,0.4607278424781809,0.7930188679245278
any_declaration_group,any new declaration,pooled,ridge_level,265,117,3,7.314831029764509,5.9266107233728,2.7483195192333065,10.448437425342364,15.497708752615585,9.263280629182928,-3.5118623351965885,0.16818952033054627,0.10947952861301413
any_declaration_group,any new declaration,pooled,tree_change,265,117,3,7.412298485831721,6.013947368421054,2.793947368421053,10.772043010752688,16.116940983606554,9.425601046146967,-3.898980082447501,0.2656569763977588,0.21772727272727277
any_declaration_group,any new declaration,pooled,ridge_change,265,117,3,7.348976681954233,6.1829020287551675,3.097604524414863,10.912443940024518,15.241190609902732,9.210405454303459,-3.691741834699526,0.20233517252027042,0.22475463756631342
any_declaration_group,any new declaration,2021,persistence,83,83,1,6.12289156626506,4.649999999999999,1.7599999999999998,8.795,11.594,8.359180798048206,-1.7380722891566265,0.0,0.0
any_declaration_group,any new declaration,2021,tree_level,83,83,1,6.8783887322338995,5.492765957446808,2.439716312056738,11.23695035460993,14.420646808510636,8.774145893080096,-4.1715411053196245,0.7554971659688403,1.2792592592592609
any_declaration_group,any new declaration,2021,ridge_level,83,83,1,6.418136237028711,5.165024080115912,2.646934995382871,8.679739350881995,14.009201559870537,8.27120203819405,-3.5190410334189712,0.29524467076364896,0.26368495543557247
any_declaration_group,any new declaration,2021,tree_change,83,83,1,6.036106969230306,4.672272727272727,2.4404999999999992,7.463440476190476,13.571945454545448,8.002407795548901,-2.636566247217167,-0.08678459703475536,0.21772727272727188
any_declaration_group,any new declaration,2021,ridge_change,83,83,1,6.5628593260468335,5.409818412785615,2.6943285323003523,9.007847740435576,13.061712521574293,8.407477355347945,-4.250740343748303,0.43996775978177455,1.0930045028314082
any_declaration_group,any new declaration,2022,persistence,108,108,1,7.546203703703703,6.295,2.895,11.3925,14.666999999999996,9.592411979924162,-5.128611111111112,0.0,0.0
any_declaration_group,any new declaration,2022,tree_level,108,108,1,8.261975717626477,7.163233571893298,3.6395047169811328,12.045518867924528,15.131153846153847,9.968030957267196,-6.82994263042529,0.7157720139227736,0.9619230769230773
any_declaration_group,any new declaration,2022,ridge_level,108,108,1,8.176812830627695,7.6877967919685215,3.692879703719532,11.977525024133506,15.342523652537151,9.961716584609484,-5.9272475363535255,0.630609126923991,0.056643942396714
any_declaration_group,any new declaration,2022,tree_change,108,108,1,8.515799833356184,7.796821505376343,4.361526229508195,12.051635752688174,15.196929999999996,10.327799198362463,-6.719522714645722,0.9695961296524798,2.065901639344261
any_declaration_group,any new declaration,2022,ridge_change,108,108,1,8.1315527957086,7.67847645253414,4.166810939067139,11.937891806547267,15.389496713414788,9.839702249448207,-5.98960052601324,0.5853490920048982,0.2516927096699444
any_declaration_group,any new declaration,2023,persistence,74,74,1,7.711756756756756,5.8149999999999995,2.665000000000001,12.215,15.916,9.678878299427838,1.0260810810810808,0.0,0.0
any_declaration_group,any new declaration,2023,tree_level,74,74,1,7.469638324022227,6.298728036669214,2.806541666666666,11.554319327731093,16.163116666666667,9.384409843598768,-0.33328397848212227,-0.24211843273453193,-0.20737044817927064
any_declaration_group,any new declaration,2023,ridge_level,74,74,1,7.062555804140823,5.395279221551464,2.204390400083751,9.521880519977387,16.704241841007256,9.258663154529348,0.02134622801161432,-0.6492009526159344,-0.49865604300584665
any_declaration_group,any new declaration,2023,tree_change,74,74,1,7.345349166173283,5.389316801619434,2.5630323918873597,10.121215090641842,17.36756964465303,9.52114924955879,-1.1984631101057408,-0.3664075905834731,-0.5470921117099464
any_declaration_group,any new declaration,2023,ridge_change,74,74,1,7.088564793506152,5.368990874212352,2.7377386298118527,9.53295743900551,16.408917393533244,9.121494264822877,0.288874583042765,-0.6231919632506031,-0.43851336143625763
any_declaration_group,no new listed declaration,pooled,persistence,105,78,3,6.413047619047619,4.8999999999999995,2.89,9.36,13.570000000000016,8.442874877106505,-2.1793333333333336,0.0,0.0
any_declaration_group,no new listed declaration,pooled,tree_level,105,78,3,6.874997687265359,6.050740740740738,2.6558333333333337,9.476363636363635,14.792689655172415,8.89055145996602,-3.635988389050525,0.46195006821774043,0.2665517241379316
any_declaration_group,no new listed declaration,pooled,ridge_level,105,78,3,6.570202452117986,5.275292099051223,2.4426936701634316,9.30553723473384,13.717769807330013,8.765185744263876,-3.0902728623585283,0.15715483307036665,0.17619500668049515
any_declaration_group,no new listed declaration,pooled,tree_change,105,78,3,6.715948283824386,6.093947368421053,2.1572611464968157,9.393076923076922,14.8081,8.8169374889011,-2.765923697084269,0.30290066477676764,-0.21772727272727255
any_declaration_group,no new listed declaration,pooled,ridge_change,105,78,3,7.276745007964306,5.5821247128106775,2.888199577270907,10.197555849280782,14.219981226351083,9.905435685214567,-4.259372160407942,0.863697388916686,1.1194378780573269
any_declaration_group,no new listed declaration,2021,persistence,41,41,1,6.942682926829269,5.35,3.29,10.46,14.52,8.69889550039712,-2.414390243902439,0.0,0.0
any_declaration_group,no new listed declaration,2021,tree_level,41,41,1,7.20942001576044,6.277234042553191,3.1459999999999995,9.446666666666667,16.476666666666667,9.218596450825167,-4.351148282688501,0.26673708893117315,0.19599999999999973
any_declaration_group,no new listed declaration,2021,ridge_level,41,41,1,6.041968686851312,5.182271601975823,2.0491650018007386,8.412863001247075,12.531531250028697,8.240775137766288,-2.662824228095349,-0.9007142399779572,-1.58383286702911
any_declaration_group,no new listed declaration,2021,tree_change,41,41,1,7.479869062901155,6.644500000000002,3.837727272727273,9.193947368421053,14.857727272727272,9.29070689145388,-3.418965957021156,0.5371861360718871,-0.21772727272727255
any_declaration_group,no new listed declaration,2021,ridge_change,41,41,1,7.956227466874361,6.019437878057326,2.888199577270907,10.975481939415374,16.393133477666975,11.284218998965297,-5.0747473291647145,1.0135445400450926,-0.0003901568390340948
