target,test_year,split,model,n,training_years,MAE,RMSE,R2
maintenance_ratio_pct,2023,test,full_level_tree,122,2019|2020|2021,21.13556686474218,29.941411637024974,0.16987408168089446
maintenance_ratio_pct,2023,test,fiscal_only_tree,122,2019|2020|2021,21.13556686474218,29.941411637024974,0.16987408168089446
maintenance_ratio_pct,2023,test,change_tree,122,2019|2020|2021,24.89405640497838,37.57954191351908,-0.30768274534117745
maintenance_ratio_pct,2024,train,persistence,481,2019|2020|2021|2022,20.43547077996645,42.85027419238546,-0.6077619693993437
maintenance_ratio_pct,2024,train,training_mean,481,2019|2020|2021|2022,19.302185839313704,33.794243539508756,0.0
maintenance_ratio_pct,2024,train,mean_change,481,2019|2020|2021|2022,20.438243282959625,42.81433585925297,-0.6050662547833101
maintenance_ratio_pct,2024,train,full_level_tree,481,2019|2020|2021|2022,16.945379537156608,29.66272726020295,0.2295637687594485
maintenance_ratio_pct,2024,train,fiscal_only_tree,481,2019|2020|2021|2022,16.945379537156604,29.662727260202946,0.22956376875944862
maintenance_ratio_pct,2024,train,change_tree,481,2019|2020|2021|2022,19.333268804698367,38.1687293118505,-0.2756453340774101
maintenance_ratio_pct,2024,test,persistence,121,2019|2020|2021|2022,22.852550135630697,38.875925778154446,-0.3204029289934218
maintenance_ratio_pct,2024,test,training_mean,121,2019|2020|2021|2022,23.020036058766028,33.83555675701588,-0.00021104185425935285
maintenance_ratio_pct,2024,test,mean_change,121,2019|2020|2021|2022,23.303179394106518,39.07715143808078,-0.33410737911396104
maintenance_ratio_pct,2024,test,full_level_tree,121,2019|2020|2021|2022,21.524320801266583,33.719327448517056,0.006648852040743836
maintenance_ratio_pct,2024,test,fiscal_only_tree,121,2019|2020|2021|2022,21.52432080126657,33.719327448517056,0.006648852040744058
maintenance_ratio_pct,2024,test,change_tree,121,2019|2020|2021|2022,24.099976649369967,35.83107932613798,-0.12166913963911141
