target,history,test_year,test_fy,spec,model,n,train_n,ridge_alpha,MAE,RMSE,R2
cash_cover_months,long,2018,2018-19,fiscal_plus_disaster,ridge,103,205,10.0,2.859939150073654,4.002432912279174,0.5779566969675152
cash_cover_months,long,2018,2018-19,fiscal_plus_disaster,tree,103,205,,2.973351386921879,4.448034787049076,0.47875099225793094
cash_cover_months,long,2019,2019-20,baseline,persistence,102,307,,2.905588235294117,4.183369385048935,0.6381989103652366
cash_cover_months,long,2019,2019-20,baseline,training_mean,102,307,,5.3883175895765465,6.9648615968236385,-0.0028648836037052927
cash_cover_months,long,2019,2019-20,fiscal_only,ridge,102,307,0.1,3.139392539532688,4.430947910365955,0.5941077753335574
cash_cover_months,long,2019,2019-20,fiscal_only,tree,102,307,,3.195385080459873,4.5657777772829675,0.5690300565680726
cash_cover_months,long,2019,2019-20,fiscal_plus_fire,ridge,102,307,0.1,3.14252063155316,4.433535859422523,0.5936335042841586
cash_cover_months,long,2019,2019-20,fiscal_plus_fire,tree,102,307,,3.195385080459873,4.5657777772829675,0.5690300565680724
cash_cover_months,long,2019,2019-20,fiscal_plus_disaster,ridge,102,307,0.1,3.1178773799669344,4.408786315432445,0.5981577999535875
cash_cover_months,long,2019,2019-20,fiscal_plus_disaster,tree,102,307,,3.195385080459873,4.5657777772829675,0.5690300565680724
cash_cover_months,long,2020,2020-21,baseline,persistence,102,410,,3.2917647058823523,4.76676772140241,0.5077506207862617
cash_cover_months,long,2020,2020-21,baseline,training_mean,102,410,,5.427913758967003,6.8705413363334005,-0.02263137073298238
cash_cover_months,long,2020,2020-21,fiscal_only,ridge,102,410,0.1,3.417666439055722,4.712566237296555,0.5188814161774987
cash_cover_months,long,2020,2020-21,fiscal_only,tree,102,410,,3.5514607698906437,5.049367543395644,0.4476540604363478
cash_cover_months,long,2020,2020-21,fiscal_plus_fire,ridge,102,410,0.1,3.427256430244055,4.718374114941774,0.517694801669043
cash_cover_months,long,2020,2020-21,fiscal_plus_fire,tree,102,410,,3.5514607698906433,5.049367543395645,0.4476540604363477
cash_cover_months,long,2020,2020-21,fiscal_plus_disaster,ridge,102,410,0.1,4.592264501865493,5.884487363902829,0.24983902635636301
cash_cover_months,long,2020,2020-21,fiscal_plus_disaster,tree,102,410,,3.5514607698906437,5.049367543395644,0.4476540604363477
cash_cover_months,long,2021,2021-22,baseline,persistence,103,512,,4.032728155339806,5.4714507112138655,0.513935787586933
cash_cover_months,long,2021,2021-22,baseline,training_mean,103,512,,5.68480548581614,8.09162615876159,-0.0630661342215495
cash_cover_months,long,2021,2021-22,fiscal_only,ridge,103,512,0.1,4.043826536527194,5.364941701927422,0.5326753623771096
cash_cover_months,long,2021,2021-22,fiscal_only,tree,103,512,,4.1722631498148,6.058508662676364,0.4040358576487595
cash_cover_months,long,2021,2021-22,fiscal_plus_fire,ridge,103,512,0.1,4.023557335536455,5.351784349017907,0.5349647499254392
cash_cover_months,long,2021,2021-22,fiscal_plus_fire,tree,103,512,,4.172263149814801,6.058508662676364,0.4040358576487594
cash_cover_months,long,2021,2021-22,fiscal_plus_disaster,ridge,103,512,0.1,3.9234234415923885,5.26287811073378,0.5502871602157156
cash_cover_months,long,2021,2021-22,fiscal_plus_disaster,tree,103,512,,4.1722631498148,6.058508662676364,0.4040358576487594
cash_cover_months,long,2022,2022-23,baseline,persistence,101,614,,3.812163366336634,5.006712787996246,0.5396387188047296
cash_cover_months,long,2022,2022-23,baseline,training_mean,101,614,,5.420688210726609,7.70605260272688,-0.09057960399143572
cash_cover_months,long,2022,2022-23,fiscal_only,ridge,101,614,0.1,3.6349316746978424,4.779421889265571,0.5804882114470786
cash_cover_months,long,2022,2022-23,fiscal_only,tree,101,614,,3.985326419334238,5.392743151261582,0.46591189621534657
cash_cover_months,long,2022,2022-23,fiscal_plus_fire,ridge,101,614,0.1,3.6275432713602056,4.772177029661113,0.5817590766374547
cash_cover_months,long,2022,2022-23,fiscal_plus_fire,tree,101,614,,3.985326419334238,5.392743151261581,0.4659118962153467
cash_cover_months,long,2022,2022-23,fiscal_plus_disaster,ridge,101,614,10.0,3.560196201098822,4.716312542594396,0.5914938609358544
cash_cover_months,long,2022,2022-23,fiscal_plus_disaster,tree,101,614,,3.985326419334239,5.392743151261582,0.46591189621534645
