target,history,spec,model,n,MAE,RMSE,R2,folds,macro_MAE,macro_RMSE,macro_R2,MAE_years_won,RMSE_years_won,both_years_won,persistence_MAE,persistence_RMSE,consistent_vs_persistence
operating_ratio_pct,long,fiscal_only,ridge,818,7.690420636168299,10.166635879771642,-0.1188480422503031,8,7.6886818116095155,9.956849968093104,-0.25647813376093564,5,4,4,7.3335207823960875,9.848497496267404,False
operating_ratio_pct,long,fiscal_only,tree,818,7.921259541044678,10.417554913108917,-0.17475733155429451,8,7.92291028851312,10.27678240173037,-0.32747272409362854,1,2,1,7.3335207823960875,9.848497496267404,False
operating_ratio_pct,long,fiscal_plus_disaster,ridge,818,7.392969033095722,9.76122311157435,-0.03139505855861913,8,7.3932866856635115,9.664731371558727,-0.16285979926887795,2,2,1,7.3335207823960875,9.848497496267404,False
operating_ratio_pct,long,fiscal_plus_disaster,tree,818,7.764460399540853,10.330708625884968,-0.15525216875153203,8,7.765172147447509,10.18455886467387,-0.3067933304184552,2,2,2,7.3335207823960875,9.848497496267404,False
operating_ratio_pct,long,fiscal_plus_fire,ridge,818,8.009505492015258,10.650996978278041,-0.22799639047854425,8,8.008773020934658,10.459947351495522,-0.3965483393854157,4,3,3,7.3335207823960875,9.848497496267404,False
operating_ratio_pct,long,fiscal_plus_fire,tree,818,7.921259541044678,10.417554913108917,-0.17475733155429451,8,7.92291028851312,10.276782401730372,-0.32747272409362854,1,2,1,7.3335207823960875,9.848497496267404,False
operating_ratio_pct,short_2017_onward,baseline,persistence,307,6.72029315960912,8.718243797839492,0.19753653471747246,3,6.727154666923002,8.681346572684307,0.1628282657032346,0,0,0,6.72029315960912,8.718243797839492,False
operating_ratio_pct,short_2017_onward,baseline,training_mean,307,7.55800917635991,10.014194332934427,-0.058764277285537014,3,7.563014173953704,9.99575489673681,-0.09023430457497206,0,0,0,6.72029315960912,8.718243797839492,False
operating_ratio_pct,short_2017_onward,fiscal_only,ridge,307,6.978029002596765,9.226862292082574,0.10117461844520004,3,6.987813185596177,9.181837085404288,0.056779747106019664,1,0,0,6.72029315960912,8.718243797839492,False
operating_ratio_pct,short_2017_onward,fiscal_only,tree,307,7.215419017210165,9.197165322156268,0.10695110763483606,3,7.22443025399802,9.159881244112546,0.06128694788968403,1,0,0,6.72029315960912,8.718243797839492,False
operating_ratio_pct,short_2017_onward,fiscal_plus_disaster,ridge,307,7.198047146286134,9.497158822039916,0.04774195260553549,3,7.2085544622770605,9.438047777077204,-0.00280210542272441,1,0,0,6.72029315960912,8.718243797839492,False
operating_ratio_pct,short_2017_onward,fiscal_plus_disaster,tree,307,7.215419017210165,9.197165322156268,0.10695110763483606,3,7.22443025399802,9.159881244112544,0.061286947889684175,1,0,0,6.72029315960912,8.718243797839492,False
operating_ratio_pct,short_2017_onward,fiscal_plus_fire,ridge,307,6.999876060239501,9.27299138693391,0.09216491541784,3,7.009984108405594,9.224258164662832,0.04690501402084087,1,0,0,6.72029315960912,8.718243797839492,False
operating_ratio_pct,short_2017_onward,fiscal_plus_fire,tree,307,7.215419017210165,9.197165322156268,0.10695110763483606,3,7.22443025399802,9.159881244112544,0.061286947889684064,1,0,0,6.72029315960912,8.718243797839492,False
