council_key,year_start,_merge
sydney,2015,both
sydney,2016,both
sydney,2017,both
sydney,2018,both
sydney,2019,both
sydney,2020,both
sydney,2021,both
sydney,2022,both
sydney,2023,both
sydney,2024,both
tamworth,2012,both
tamworth,2013,both
tamworth,2014,both
tamworth,2015,both
tamworth,2016,both
tamworth,2017,both
tamworth,2018,both
tamworth,2019,both
tamworth,2020,both
tamworth,2021,both
tamworth,2022,both
tamworth,2023,both
tamworth,2024,both
temora,2012,both
temora,2013,both
temora,2014,both
temora,2015,both
temora,2016,both
temora,2017,both
temora,2018,both
temora,2019,both
temora,2020,both
temora,2021,both
temora,2022,both
temora,2023,both
temora,2024,both
tenterfield,2012,both
tenterfield,2013,both
tenterfield,2014,both
tenterfield,2015,both
tenterfield,2016,both
tenterfield,2017,both
tenterfield,2018,both
tenterfield,2019,both
tenterfield,2020,both
tenterfield,2021,both
tenterfield,2022,both
tenterfield,2023,both
tenterfield,2024,both
tweed,2012,both
tweed,2013,both
tweed,2014,both
tweed,2015,both
tweed,2016,both
tweed,2017,both
tweed,2018,both
tweed,2019,both
tweed,2020,both
tweed,2021,both
tweed,2022,both
tweed,2023,both
tweed,2024,both
upperhunter,2012,both
upperhunter,2013,both
upperhunter,2014,both
upperhunter,2015,both
upperhunter,2016,both
upperhunter,2017,both
upperhunter,2018,both
upperhunter,2019,both
upperhunter,2020,both
upperhunter,2021,both
upperhunter,2022,both
upperhunter,2023,both
upperhunter,2024,both
upperlachlan,2012,both
upperlachlan,2013,both
upperlachlan,2014,both
upperlachlan,2015,both
upperlachlan,2016,both
upperlachlan,2017,both
upperlachlan,2018,both
upperlachlan,2019,both
upperlachlan,2020,both
upperlachlan,2021,both
upperlachlan,2022,both
upperlachlan,2023,both
upperlachlan,2024,both
uralla,2012,both
uralla,2013,both
uralla,2014,both
uralla,2015,both
uralla,2016,both
uralla,2017,both
uralla,2018,both
uralla,2019,both
uralla,2020,both
uralla,2021,both
uralla,2022,both
uralla,2023,both
uralla,2024,both
waggawagga,2012,both
waggawagga,2013,both
waggawagga,2014,both
waggawagga,2015,both
waggawagga,2016,both
waggawagga,2017,both
waggawagga,2018,both
waggawagga,2019,both
waggawagga,2020,both
waggawagga,2021,both
waggawagga,2022,both
waggawagga,2023,both
waggawagga,2024,both
walcha,2012,both
walcha,2013,both
walcha,2014,both
walcha,2015,both
walcha,2016,both
walcha,2017,both
walcha,2018,both
walcha,2019,both
walcha,2020,both
walcha,2021,both
walcha,2022,both
walcha,2023,both
walcha,2024,both
