target,history,test_year,model,augmented,reference,n,MAE_improvement,RMSE_improvement,R2_improvement
maintenance_ratio_pct,long,2022,tree,fiscal_plus_disaster,fiscal_plus_fire,100,0.0,-1.4210854715202004e-14,-1.1102230246251565e-15
maintenance_ratio_pct,long,2023,ridge,fiscal_plus_fire,fiscal_only,102,0.00010740228046302036,0.0025226771060324893,0.0001422955549840177
maintenance_ratio_pct,long,2023,ridge,fiscal_plus_disaster,fiscal_only,102,-0.3450925489558969,-0.21609382595224957,-0.012233313946895641
maintenance_ratio_pct,long,2023,ridge,fiscal_plus_disaster,fiscal_plus_fire,102,-0.34519995123635994,-0.21861650305828206,-0.012375609501879659
maintenance_ratio_pct,long,2023,tree,fiscal_plus_fire,fiscal_only,102,-1.0658141036401503e-14,3.552713678800501e-15,1.1102230246251565e-16
maintenance_ratio_pct,long,2023,tree,fiscal_plus_disaster,fiscal_only,102,-7.105427357601002e-15,3.552713678800501e-15,3.3306690738754696e-16
maintenance_ratio_pct,long,2023,tree,fiscal_plus_disaster,fiscal_plus_fire,102,3.552713678800501e-15,0.0,2.220446049250313e-16
maintenance_ratio_pct,long,2024,ridge,fiscal_plus_fire,fiscal_only,101,0.012355104234703873,0.01104759821724599,0.0005872934265334084
maintenance_ratio_pct,long,2024,ridge,fiscal_plus_disaster,fiscal_only,101,0.13764932335135427,-0.30697918216677067,-0.016398050084184934
maintenance_ratio_pct,long,2024,ridge,fiscal_plus_disaster,fiscal_plus_fire,101,0.1252942191166504,-0.31802678038401666,-0.016985343510718343
maintenance_ratio_pct,long,2024,tree,fiscal_plus_fire,fiscal_only,101,-3.552713678800501e-15,0.0,0.0
maintenance_ratio_pct,long,2024,tree,fiscal_plus_disaster,fiscal_only,101,0.0,0.0,2.220446049250313e-16
maintenance_ratio_pct,long,2024,tree,fiscal_plus_disaster,fiscal_plus_fire,101,3.552713678800501e-15,0.0,2.220446049250313e-16
maintenance_ratio_pct,short_2017_onward,2021,ridge,fiscal_plus_fire,fiscal_only,102,-0.0022360227041424707,-0.01936210735919275,-0.0019681269373446053
maintenance_ratio_pct,short_2017_onward,2021,ridge,fiscal_plus_disaster,fiscal_only,102,0.0004336892489789079,0.3986345231392505,0.04029367378134463
maintenance_ratio_pct,short_2017_onward,2021,ridge,fiscal_plus_disaster,fiscal_plus_fire,102,0.0026697119531213787,0.41799663049844327,0.042261800718689235
maintenance_ratio_pct,short_2017_onward,2021,tree,fiscal_plus_fire,fiscal_only,102,3.552713678800501e-15,7.105427357601002e-15,1.1102230246251565e-16
maintenance_ratio_pct,short_2017_onward,2021,tree,fiscal_plus_disaster,fiscal_only,102,3.552713678800501e-15,0.0,0.0
