council,fy_end,actual_maintenance,required_maintenance,maintenance_ratio_raw,backlog_ratio,cash_cover,population_as_published,operating_ratio_raw,unrestricted_current_ratio,maintenance_ratio_recomputed,maintenance_zero_denominator,maintenance_scale_expected,maintenance_ratio_normalized,ratio_discrepancy
Wollongong,2019,72181000.0,71940000.0,100.34,4.78,5.45,216071,-0.48,2.7,1.0033500139004725,False,100,1.0034,4.998609952755473e-05
Woollahra,2019,9714000.0,9659000.0,100.57,1.78,9.65,58964,-1.4,4.37,1.0056941712392586,False,100,1.0057,5.828760741399819e-06
Yass Valley,2019,5137000.0,5240000.0,98.03,1.12,9.12,16953,5.1,3.94,0.9803435114503817,False,100,0.9803000000000001,-4.351145038161697e-05
Albury,2020,32016000.0,30440000.0,105.18,2.62,18.67,54353,3.05,1.93,1.0517739816031537,False,100,1.0518,2.60183968463501e-05
Armidale Regional,2020,18194000.0,20550000.0,88.54,1.96,13.91,30779,0.9,2.64,0.885352798053528,False,100,0.8854000000000001,4.7201946472119616e-05
Ballina,2020,7084000.0,7481000.0,94.69,1.68,9.99,44628,3.39,2.59,0.9469322283117231,False,100,0.9469,-3.22283117231148e-05
Balranald,2020,3188000.0,2562000.0,124.43,2.79,12.64,2338,-2.65,5.72,1.2443403590944575,False,100,1.2443,-4.035909445754271e-05
Bathurst Regional,2020,34431000.0,21606000.0,159.36,9.03,7.81,43618,-21.84,0.95,1.593585115245765,False,100,1.5936000000000001,1.4884754235167108e-05
Bayside,2020,19722000.0,20360000.0,96.87,1.49,32.23,178396,2.33,3.62,0.968664047151277,False,100,0.9687,3.595284872304205e-05
Bega Valley,2020,23904000.0,24366000.0,98.1,2.79,12.14,34476,2.13,1.08,0.9810391529180005,False,100,0.981,-3.9152918000495696e-05
Bellingen,2020,4420000.0,4420000.0,100.0,8.7,4.18,12996,-2.8,2.56,1.0,False,100,1.0,0.0
Berrigan,2020,5467000.0,5242000.0,104.29,0.0,27.88,8750,5.6,4.33,1.0429225486455551,False,100,1.0429000000000002,-2.254864555495395e-05
Blacktown,2020,63876063.8,63009887.0,101.37,1.93,21.16,374451,-4.61,2.74,1.013746680739167,False,100,1.0137,-4.668073916702653e-05
Bland,2020,5175000.0,3900000.0,133.0,9.0,36.6,5972,13.95,21.46,1.3269230769230769,False,100,1.33,0.0030769230769231992
Blayney,2020,3199000.0,3193000.0,100.19,4.12,12.72,7379,-5.0,4.71,1.0018791105543376,False,100,1.0019,2.088944566236428e-05
Blue Mountains,2020,27037000.0,27767000.0,97.37,1.22,4.21,79118,-3.59,1.43,0.9737097994021681,False,100,0.9737,-9.79940216805364e-06
